camera_id,url_image,road,km,latitude,longitude
183,http://infocar.dgt.es/etraffic/data/camaras/183.jpg,V-30,4.9,39.43801944,-0.396525
184,http://infocar.dgt.es/etraffic/data/camaras/184.jpg,V-30,6.8,39.45262222,-0.40893333
185,http://infocar.dgt.es/etraffic/data/camaras/185.jpg,V-30,10.2,39.47973333,-0.428725
186,http://infocar.dgt.es/etraffic/data/camaras/186.jpg,V-30,11.0,39.48726944,-0.43405
187,http://infocar.dgt.es/etraffic/data/camaras/187.jpg,V-30,14.55,39.5064,-0.46074722
188,http://infocar.dgt.es/etraffic/data/camaras/188.jpg,V-30,16.0,39.51336667,-0.47700556
189,http://infocar.dgt.es/etraffic/data/camaras/189.jpg,V-31,0.82,39.34898333,-0.42906667
190,http://infocar.dgt.es/etraffic/data/camaras/190.jpg,V-31,2.6,39.36448056,-0.42607222
191,http://infocar.dgt.es/etraffic/data/camaras/191.jpg,V-31,6.8,39.38742778,-0.39559444
195,http://infocar.dgt.es/etraffic/data/camaras/195.jpg,A-7,1077.5,36.4144,-5.18051
196,http://infocar.dgt.es/etraffic/data/camaras/196.jpg,A-7,1053.0,36.485094,-4.981431
197,http://infocar.dgt.es/etraffic/data/camaras/197.jpg,A-7,1050.8,36.489,-4.95677
198,http://infocar.dgt.es/etraffic/data/camaras/198.jpg,A-7,1050.1,36.4929,-4.95201
199,http://infocar.dgt.es/etraffic/data/camaras/199.jpg,A-7,1041.7,36.5121,-4.86326
200,http://infocar.dgt.es/etraffic/data/camaras/200.jpg,A-7,1041.0,36.5079,-4.85604
201,http://infocar.dgt.es/etraffic/data/camaras/201.jpg,A-7,1040.0,36.5053,-4.84517
202,http://infocar.dgt.es/etraffic/data/camaras/202.jpg,A-7,1036.0,36.504,-4.81055
203,http://infocar.dgt.es/etraffic/data/camaras/203.jpg,A-7,1029.1,36.4885,-4.72973
204,http://infocar.dgt.es/etraffic/data/camaras/204.jpg,A-7,1027.5,36.4895,-4.71195
205,http://infocar.dgt.es/etraffic/data/camaras/205.jpg,A-7,1023.8,36.5064,-4.67811
206,http://infocar.dgt.es/etraffic/data/camaras/206.jpg,A-7,1069.5,36.4354,-5.15079
207,http://infocar.dgt.es/etraffic/data/camaras/207.jpg,A-7,1022.9,36.5042,-4.67037
208,http://infocar.dgt.es/etraffic/data/camaras/208.jpg,A-7,1021.7,36.5061,-4.65469
209,http://infocar.dgt.es/etraffic/data/camaras/209.jpg,A-7,1020.6,36.5068,-4.64394
210,http://infocar.dgt.es/etraffic/data/camaras/210.jpg,A-7,1019.8,36.5085,-4.6372
211,http://infocar.dgt.es/etraffic/data/camaras/211.jpg,A-7,1016.5,36.5342,-4.63268
212,http://infocar.dgt.es/etraffic/data/camaras/212.jpg,A-7,1015.0,36.5468,-4.63214
213,http://infocar.dgt.es/etraffic/data/camaras/213.jpg,A-7,1014.3,36.551,-4.62762
214,http://infocar.dgt.es/etraffic/data/camaras/214.jpg,A-7,1010.5,36.5774,-4.61304
215,http://infocar.dgt.es/etraffic/data/camaras/215.jpg,A-7,1003.6,36.6056,-4.54809
216,http://infocar.dgt.es/etraffic/data/camaras/216.jpg,A-7,1069.0,36.4356,-5.14635
217,http://infocar.dgt.es/etraffic/data/camaras/217.jpg,A-7,1000.1,36.619417,-4.518033
218,http://infocar.dgt.es/etraffic/data/camaras/218.jpg,AP-7,227.9,36.6435,-4.50228
219,http://infocar.dgt.es/etraffic/data/camaras/219.jpg,AP-7,228.7,36.6437,-4.49334
220,http://infocar.dgt.es/etraffic/data/camaras/220.jpg,MA-20,0.62,36.6488,-4.48575
221,http://infocar.dgt.es/etraffic/data/camaras/221.jpg,MA-20,1.592,36.653506,-4.478187
222,http://infocar.dgt.es/etraffic/data/camaras/222.jpg,MA-20,5.673,36.6867,-4.46233
223,http://infocar.dgt.es/etraffic/data/camaras/223.jpg,MA-20,6.746,36.6968,-4.45882
224,http://infocar.dgt.es/etraffic/data/camaras/224.jpg,MA-20,8.6,36.7131,-4.45837
225,http://infocar.dgt.es/etraffic/data/camaras/225.jpg,MA-20,9.551,36.7208,-4.45641
