camera_id,name,url_image,road,km,location_info,latitude,longitude
63,CCTV 220 - Tunel II Exterior Erletxes,,N - 637,020+730,Erletxes,4791244.28,511026.35
64,CCTV 221 - Enlace de Zamudio,http://www.bizkaimove.com/camaras/cam73.jpg,N - 637,021+470,Cruces,4791129.29,511725.62
65,CCTV 222 - ETD 42,,N - 637,021+800,Cruces,4790897.4,512098.66
66,CCTV 223 - Túnel IV Exterior Erletxes,,N - 637,022+800,Cruces,4790473.21,512843.2
67,CCTV 224 - Tunel III Exterior Derio,,N - 637,024+030,Cruces,4790166.93,514078.61
68,CCTV 225 - Tunel III dir. Erletxes,,N - 637,020+600,Cruces,4790672.04,512388.05
69,CCTV 226 - Tunel III dir. Erletxes,,N - 637,020+600,Cruces,4790051.3,514381.5
70,CCTV 227 - Túnel 4 Exterior Erletxes,,N - 637,024+400,Erletxes,4790010.31,514535.22
71,CCTV 228 - Enlace Lezama,http://www.bizkaimove.com/camaras/cam74.jpg,N - 637,025+000,Cruces,4789985.61,515025.08
72,CCTV 229 - Enlace Larrabetzu I,,N - 637,026+070,Erletxes,4789216.0,515706.18
73,CCTV 230 - Enlace Larrabetzu II,http://www.bizkaimove.com/camaras/cam75.jpg,N - 637,026+140,Erletxes,4789161.02,515703.22
74,CCTV 231 - Nudo Larrabetzu,,N - 637,026+740,Cruces,4788624.09,515997.11
1,Amara,http://www.trafikoa.net/static/files/tr/camaras/807.jpg,GI-20,11.000,,43.29769,-1.986157
2,Añorga,http://www.trafikoa.net/static/files/tr/camaras/808.jpg,GI-20,12.000,,43.295609,-1.997044
3,Loiola,http://www.trafikoa.net/static/files/tr/camaras/806.jpg,GI-20,8.500,,43.305725,-1.968328
4,Ondarreta,http://www.trafikoa.net/static/files/tr/camaras/809.jpg,GI-20,13.000,,43.29824,-2.009245
5,Pasaia 1,http://www.trafikoa.net/static/files/tr/camaras/804.jpg,GI-20,5.000,,43.310689,-1.937903
6,Pasaia 2,http://www.trafikoa.net/static/files/tr/camaras/805.jpg,GI-20,4.500,,43.3105,-1.934152
7,Loiola,http://www.trafikoa.net/static/files/tr/camaras/806.jpg,GI-20,8.500,,43.305725,-1.968328
8,Ondarreta,http://www.trafikoa.net/static/files/tr/camaras/809.jpg,GI-20,13.000,,43.29824,-2.009245
9,Ondarreta - Tunel,/imagenes/trafico/TunelAntiguo/snap_c1.jpg,,,,43.31546,-2.00082
10,Pasaia 1,http://www.trafikoa.net/static/files/tr/camaras/804.jpg,GI-20,5.000,,43.310689,-1.937903
11,Pasaia 2,http://www.trafikoa.net/static/files/tr/camaras/805.jpg,GI-20,4.500,,43.3105,-1.934152
12,Plaza de Europa,/imagenes/trafico/PlazaEuropa/snap_c1.jpg,,,,43.30904,-2.00975
13,Plaza Euskadi,/imagenes/trafico/PlazaEuskadi/snap_c1.jpg,,,,43.32055,-1.97943
14,Reina Regente,/imagenes/trafico/ReinaRegente/snap_c1.jpg,,,,43.32313,-1.98087
15,San Mart¿n - Easo,/imagenes/trafico/Easo/snap_c1.jpg,,,,43.31689,-1.98364
145,PPCC-31 Indautxu,https://www.bilbao.eus/camarastrafico/codec0145/snap_c1.jpg,,,PPCC-31 Indautxu,43.26139493790335,-2.940265067775675
148,PPCC34_Moyua,https://www.bilbao.eus/camarastrafico/codec0148/snap_c1.jpg,,,PPCC34_Moyua,43.26268173790335,-2.935505867775675
-1,PPCC35_Zunzunegui,https://www.bilbao.eus/camarastrafico/codec00-1/snap_c1.jpg,,,PPCC35_Zunzunegui,43.26262323790335,-2.950462267775675
35,Sdo. Corazón Norte (Parque),https://www.bilbao.eus/camarastrafico/codec0035/snap_c1.jpg,,,Sdo. Corazón Norte (Parque),43.26524783790335,-2.945200867775675
33,Sdo. Corazón Sur (Sabino Arana),https://www.bilbao.eus/camarastrafico/codec0033/snap_c1.jpg,,,Sdo. Corazón Sur (Sabino Arana),43.26522433790335,-2.945207767775675
34,Sdo. Corazón Este (Gran Vía),https://www.bilbao.eus/camarastrafico/codec0034/snap_c1.jpg,,,Sdo. Corazón Este (Gran Vía),43.26523283790335,-2.945184867775675
72,Mª Diaz de Haro/Rguez .Arias,https://www.bilbao.eus/camarastrafico/codec0072/snap_c1.jpg,,,Mª Diaz de Haro/Rguez .Arias,43.26365953790335,-2.943595667775675
42,Henao/Heros,https://www.bilbao.eus/camarastrafico/codec0042/snap_c1.jpg,,,Henao/Heros,43.26468883790335,-2.932552067775675
41,Rguez.Arias/Alda. Rekalde,https://www.bilbao.eus/camarastrafico/codec0041/snap_c1.jpg,,,Rguez.Arias/Alda. Rekalde,43.26188243790335,-2.935533667775675
26,Iparraguirre/Alda. Urquijo,https://www.bilbao.eus/camarastrafico/codec0026/snap_c1.jpg,,,Iparraguirre/Alda. Urquijo,43.26041793790335,-2.9375139677756748
1,M. Díaz de Haro/Simón Bolívar,https://www.bilbao.eus/camarastrafico/codec0001/snap_c1.jpg,,,M. Díaz de Haro/Simón Bolívar,43.26065663790335,-2.9445240677756748
27,Plza. Emilio Campuzano,https://www.bilbao.eus/camarastrafico/codec0027/snap_c1.jpg,,,Plza. Emilio Campuzano,43.26316903790335,-2.939549867775675
8,Plza. Moyúa,https://www.bilbao.eus/camarastrafico/codec0008/snap_c1.jpg,,,Plza. Moyúa,43.26287443790335,-2.9344563677756748
23,Santa Clara,https://www.bilbao.eus/camarastrafico/codec0023/snap_c1.jpg,,,Santa Clara,43.25420193790335,-2.9111352677756748
77,Plza. Unamuno,https://www.bilbao.eus/camarastrafico/codec0077/snap_c1.jpg,,,Plza. Unamuno,43.25841103790335,-2.921847367775675
68,Sabino Arana/Autonomia,https://www.bilbao.eus/camarastrafico/codec0068/snap_c1.jpg,,,Sabino Arana/Autonomia,43.25804513790335,-2.9480646677756748
